date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","2399","映泰股份有限公司","電腦及週邊設備業","0.31","新台幣                 10.0000元","1728938.00","35001.00","27254.00","55868.00"
"1120101","111","3","2401","凌陽科技股份有限公司","半導體業","0.59","新台幣                 10.0000元","5536370.00","453647.00","488495.00","754288.00"
"1120101","111","3","2402","毅嘉科技股份有限公司","電子零組件業","0.74","新台幣                 10.0000元","5518291.00","210931.00","78604.00","219658.00"
"1120101","111","3","2404","漢唐集成股份有限公司","其他電子業","15.89","新台幣                 10.0000元","29815238.00","3850701.00","63838.00","3050950.00"
"1120101","111","3","2405","輔信科技股份有限公司","電腦及週邊設備業","0.23","新台幣                 10.0000元","1331880.00","24771.00","63527.00","81623.00"
"1120101","111","3","2406","國碩科技工業股份有限公司","光電業","-0.04","新台幣                 10.0000元","5294162.00","-197263.00","139486.00","-105959.00"
"1120101","111","3","2408","南亞科技股份有限公司","半導體業","5.09","新台幣                 10.0000元","48998722.00","12546383.00","5749417.00","15765451.00"
"1120101","111","3","2409","友達光電股份有限公司","光電業","-1.18","新台幣                 10.0000元","194144645.00","-13061488.00","4031256.00","-11012349.00"
"1120101","111","3","2412","中華電信股份有限公司","通信網路業","3.62","新台幣                 10.0000元","157238260.00","35867730.00","515816.00","29202599.00"
"1120101","111","3","2413","環隆科技股份有限公司","電子零組件業","1.37","新台幣                 10.0000元","3442116.00","141067.00","100118.00","173882.00"
"1120101","111","3","2414","精技電腦股份有限公司","電子通路業","2.66","新台幣                 10.0000元","18876689.00","592453.00","4055.00","479449.00"
"1120101","111","3","2415","錩新科技股份有限公司","電子零組件業","0.17","新台幣                 10.0000元","1847354.00","105673.00","-57293.00","36053.00"
"1120101","111","3","2417","圓剛科技股份有限公司","電腦及週邊設備業","0.46","新台幣                 10.0000元","3088490.00","108686.00","151297.00","220865.00"
"1120101","111","3","2419","仲琦科技股份有限公司","通信網路業","1.09","新台幣                 10.0000元","8642851.00","572213.00","-32522.00","411979.00"
"1120101","111","3","2420","新巨企業股份有限公司","電子零組件業","3.50","新台幣                 10.0000元","2057066.00","548996.00","139676.00","536583.00"
"1120101","111","3","2421","建準電機工業股份有限公司","電子零組件業","3.23","新台幣                 10.0000元","10270479.00","755142.00","280185.00","809382.00"
"1120101","111","3","2423","固緯電子實業股份有限公司","其他電子業","2.06","新台幣                 10.0000元","2131879.00","357151.00","75030.00","298981.00"
"1120101","111","3","2424","隴華電子股份有限公司","電腦及週邊設備業","-3.79","新台幣                 10.0000元","52542.00","-128788.00","-5145.00","-133933.00"
